Naam,ID,Clustering,Rank (Betweenness centr.),Rank (Eigenvector centr.),Fonds en functies
"Wit, Cornelis Jacobus Maria de",P117136,0.323,123,130,Werk en (re)Integratie (PWRI) (60655) - Bestuurder<br />Technische Groothandel Vroegpensioen (60788) - Bestuurder<br />Molenaars (18397) - Voorzitter Raad van Toezicht
"Landen, Gerda Elisabeth van der",P125388,1.0,206,470,KLM Algemeen (2199) - Bestuurder
"Miedema, Klaas",P112242,1.0,NA,NA,AHOLD (60397) - Bestuurder
"Dulk, Johannes den",P102940,1.0,NA,NA,Unisys (60388) - Bestuurder
"Booys, Jacob Lucius de",P105395,1.0,206,794,Albemarle (60920) - Bestuurder
"Borm, Josephus Adrianus Johannes Maria",P121243,0.205,24,137,Textielgoederen (60859) - Bestuurder<br />Albemarle (60920) - Bestuurder<br />Vlakglas Verf (17571) - Bestuurder<br />Transavia Grond- en Cabinepersoneel (M0003) - Bestuurder<br />Schoenmakerij (32181) - Lid Raad van Toezicht
Verschuren,P117042,0.294,23,56,TDF Botlek (60677) - Actuaris<br />Bloemen en Planten (60929) - Bestuursvoorzitter<br />Croda (60943) - Actuaris<br />STIPP (60792) - Actuaris
"Borst, Jacob Jan",P117816,1.0,206,1091,Hoogovens (7044) - Bestuurder
Moonen,P117388,1.0,NA,NA,Roeiers   (13) - Bestuurder
"Mes, Helene Jacintha Maria",P129069,1.0,NA,NA,Hagee (4654) - Bestuurder
"Poldervaart, Willem",P112437,1.0,NA,NA,TBI (60342) - Bestuursvoorzitter
"Boonman, Raoul Stéphane Georges",P118879,1.0,206,1026,TOTAL (32489) - Bestuurder
"Droste, Ernst",P101347,1.0,NA,NA,Kuwait Petroleum Nederland (44) - Bestuurder
"Nods, Remko",P102832,1.0,206,545,Elsevier (50052) - Bestuurder
"Oetelaar, Franciscus Henricus Maria van den",P105662,1.0,NA,NA,Honeywell (14682) - Bestuurder
"Hus, Martin",P131355,1.0,206,681,IBM Nederland (60676) - Bestuurder
Meijerink,P120587,1.0,NA,NA,OWASE (43756) - Bestuursvoorzitter
Kooijman,P118304,1.0,206,803,Holland Casino (60196) - Bestuurder
"Munster, Lourens van",P107818,1.0,206,776,KLM Vliegend Personeel (2200) - Bestuurder
"Booij, George de",P127427,1.0,206,739,Spoorweg  (32) - Bestuurder
"Alferink, Gijs",P105365,1.0,206,454,Bouwmaterialen (16458) - Bestuursvoorzitter
"Verhulst, Jaqueline Louise",P130668,0.649,92,195,Tandartsen   (2) - Lid Raad van Toezicht<br />STIPP (60792) - Lid Raad van Toezicht
"Westeneind, Paulus Wilhelmus Gijsbertus Franciscus ten",P130523,1.0,206,535,Nederlandsche Bank (7837) - Bestuurder
"Gaalen, Mathijs Alexander van",P111553,1.0,206,238,Notariaat (13358) - Bestuurder
"Brink, Wichman Gerard van den",P130966,1.0,206,113,Levensmiddelen (42467) - Lid Raad van Toezicht
Runderkamp,P120879,1.0,206,92,Slagersbedrijf (10561) - Bestuurder
"Jochems, Josephus Joannes Christianus",P109593,1.0,206,159,"Mode-, Interieur-, Tapijt- en Textielindustrie (MITT) (10541) - Bestuurder"
"Til, Gerardus Evernardus Arnoldus van",P126943,1.0,206,313,Metalektro (PME) (10542) - Bestuurder
"Mazijk, Rob van",P129110,1.0,NA,NA,Delta Lloyd (16761) - Bestuursvoorzitter
"Smeets, Robertus Gerardus Leonardus",P109775,1.0,206,837,Xerox (60793) - Bestuurder
"Ginkel, Teus van",P116796,1.0,NA,NA,Smurfit Nederland (60713) - Bestuurder
"Rijksen, Adriaan Frank",P130158,1.0,206,1189,Metro (47074) - Bestuursvoorzitter
"Honig, Yolande Anja",P115648,1.0,206,949,ARCADIS Nederland (2607) - Bestuurder
"Roij, Gerard Albert Willem Marie de",P116330,1.0,206,1205,Roba (4257) - Bestuurder
"Giersbergen, Robert Franciscus Adriaan van",P130619,1.0,NA,NA,Personeelspensioenfonds APG (2392) - Bestuurder
"Koster, Mellius Maria",P122911,1.0,NA,NA,AHOLD (60397) - Bestuurder
"Doerga, Ramdoelarie Ingrid",P132329,1.0,206,609,Openbaar Vervoer (60276) - Bestuurder
